DEPARTMENT FAMILY,ENTITY,DATE,EXPENSE_AREA,EXPENSE_TYPE,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
Ministry of Justice,MoJ HQ,01-Jun-10,ZZ900-MoJ HQ,223000-Other Expenditure,CRAGG ROSS DAWSON,1021221,"Ł66,863.38"
Ministry of Justice,MoJ HQ,01-Jun-10,ZZ900-MoJ HQ,262000-SCA Costs,HP ENTERPRISE SERVICES UK LTD,1021229,"Ł34,427.50"
Ministry of Justice,Tribunals,01-Jun-10,TR120-Corporate,212001-Agency staff,KELLY SERVICES (UK) LTD,1031604,"Ł25,185.89"
Ministry of Justice,Tribunals,01-Jun-10,TR120-Corporate,212001-Agency staff,KELLY SERVICES (UK) LTD,1031604,"Ł25,496.81"
Ministry of Justice,HMCS,02-Jun-10,AA499-HMCS Change Programme,265000-IT & Telecommunications,LOGICA UK LTD,1231904,"Ł179,442.48"
Ministry of Justice,HMCS,02-Jun-10,AA499-HMCS Change Programme,265000-IT & Telecommunications,LOGICA UK LTD,1231904,"Ł89,932.86"
Ministry of Justice,HMCS,02-Jun-10,AV322-CP Change Management SUPS,532000-Tangible GBV - Additions,LOGICA UK LTD,1231904,"Ł386,113.23"
Ministry of Justice,HMCS,02-Jun-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,CBRE RICHARD ELLIS,1231660,"Ł32,753.13"
Ministry of Justice,HMCS,02-Jun-10,BZ999-London Region,532000-Tangible GBV - Additions,PARKERAY LTD,1232651,"Ł428,757.30"
Ministry of Justice,HMCS,02-Jun-10,CZ999-South East Region,222001-Maintenance,BAILEY MAINTENANCE LTD,1231587,"Ł25,822.07"
Ministry of Justice,HMCS,02-Jun-10,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,CBRE RICHARD ELLIS,1231660,"Ł44,062.50"
Ministry of Justice,HMCS,02-Jun-10,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,GVA GRIMLEY LLP,1231795,"Ł27,680.06"
Ministry of Justice,HMCS,02-Jun-10,DZ999-South West Region,222001-Maintenance,KIER BUILDING SERVICES ENG,116451,"Ł33,676.43"
Ministry of Justice,HMCS,02-Jun-10,DZ999-South West Region,222001-Maintenance,NORLAND MANAGED SERVICES LTD,1231971,"Ł37,968.28"
Ministry of Justice,HMCS,02-Jun-10,DZ999-South West Region,532000-Tangible GBV - Additions,ROK BUILDING LTD,1232701,"Ł48,055.03"
Ministry of Justice,HMCS,02-Jun-10,EZ999-Wales Region,222001-Maintenance,KIER BUILDING SERVICES ENG,116451,"Ł50,020.06"
Ministry of Justice,HMCS,02-Jun-10,EZ999-Wales Region,532000-Tangible GBV - Additions,KIER BUILDING SERVICES ENG,116451,"Ł31,883.35"
Ministry of Justice,HMCS,02-Jun-10,EZ999-Wales Region,222001-Maintenance,KIER BUILDING SERVICES ENG,116451,"Ł29,842.99"
Ministry of Justice,HMCS,02-Jun-10,FZ999-Midlands Region,610400-Debtors <1 year - Prepayments & Accrued Income,EVANS EASYSPACE LTD,1231741,"Ł48,291.03"
Ministry of Justice,HMCS,02-Jun-10,GZ999-North West Region,222001-Maintenance,DTZ DEBENHAM TIE LEUNG,1231721,"Ł66,320.03"
Ministry of Justice,HMCS,02-Jun-10,GZ999-North West Region,222002-Other Property Costs,GARTSIDE LTD,1231771,"Ł2,172,948.06"
Ministry of Justice,HMCS,02-Jun-10,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,PHILIP J DAVIES (HOLDINGS) PLC,1232663,"Ł66,681.25"
Ministry of Justice,HMCS,02-Jun-10,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON & CAPITAL PROPERTIES LTD,1231905,"Ł100,443.41"
Ministry of Justice,HMCS,02-Jun-10,HZ999-North East and Yorkshire,222001-Maintenance,BAILEY MAINTENANCE LTD,1231587,"Ł43,377.65"
Ministry of Justice,HMCS,02-Jun-10,HZ999-North East and Yorkshire,222001-Maintenance,BAILEY MAINTENANCE LTD,1231587,"Ł52,088.74"
