Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,01/04/2013,Secondees in invoiced costs,NHS Finance Operations & Performance,LONDON SHA,19523587,"Ł71,869.40",Secondee Salary Recharges April - September 2012,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,Secondees in invoiced costs,NHS Finance Operations & Performance,LONDON SHA,19523587,"Ł38,345.42",Secondee Salary Recharges q2-q4,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,Policy Payments,NHS Medical,ROYAL BERKSHIRE NHS FOUNDATION TRUST,450163,"Ł383,040.00","Financial Support for the agreed project, in accordance with the contract dated 07-02-13",RG1 5AN,PUBLIC,,,Programme
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BARKING AND DAGENHAM PCT,FUNDINGAPR13,"Ł4,662,000.00",,IG11 8EY,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BEDFORDSHIRE PCT,FUNDINGAPR13,"Ł10,000,000.00",,MK40 2AW,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BERKSHIRE EAST PCT,FUNDINGAPR13,"Ł4,400,000.00",,RG7 4BQ,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BERKSHIRE WEST PCT,FUNDINGAPR13,"Ł6,000,000.00",,RG7 4BQ,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BRENT TEACHING PCT,FUNDINGAPR13,"Ł5,700,000.00",,HA0 4UZ,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BRIGHTON & HOVE CITY TEACHING PCT,FUNDINGAPR13,"Ł8,000,000.00",,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,BROMLEY PCT,FUNDINGAPR13,"Ł3,000,000.00",,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,CAMBRIDGESHIRE PCT,FUNDINGAPR13,"Ł12,000,000.00",,PE29 6FH,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,CAMDEN PCT,FUNDINGAPR13,"Ł9,600,000.00",,NW1 0PE,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,CITY AND HACKNEY TEACHING PCT,FUNDINGAPR13,"Ł28,240,000.00",,E1 1RD,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,CROYDON PCT,FUNDINGAPR13,"Ł17,000,000.00",,CR0 6SR,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,EALING PCT,FUNDINGAPR13,"Ł10,000,000.00",,UB2 4SA,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,EAST OF ENGLAND SHA,FUNDINGAPR13,"Ł9,000,000.00",,CB1 5XB,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,EAST SUSSEX DOWNS & WEALD PCT,FUNDINGAPR13,"Ł8,000,000.00",,BN21 3UN,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,EASTERN & COASTAL KENT PCT,FUNDINGAPR13,"Ł80,000,000.00",,CT1 3NG,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,GREAT YARMOUTH AND WAVENY PCT,FUNDINGAPR13,"Ł4,000,000.00",,NR31 0LT,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,HAMPSHIRE PCT,FUNDINGAPR13,"Ł65,000,000.00",,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,HARINGEY TEACHING PCT,FUNDINGAPR13,"Ł11,500,000.00",,NW1 2PL,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,HARROW PCT,FUNDINGAPR13,"Ł4,320,000.00",,HA1 3EX,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,HAVERING PCT COMMISSIONING,FUNDINGAPR13,"Ł3,988,000.00",,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,HERTFORDSHIRE PCT,FUNDINGAPR13,"Ł30,000,000.00",,AL8 6JL,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,HOUNSLOW PCT,FUNDINGAPR13,"Ł2,750,000.00",,UB2 4SA,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,ISLE OF WIGHT NHS PCT,FUNDINGAPR13,"Ł6,500,000.00",,PO30 5TG,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,ISLINGTON PCT,FUNDINGAPR13,"Ł22,400,000.00",,EC1V 7LQ,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,KINGSTON PCT,FUNDINGAPR13,"Ł8,000,000.00",,KT5 9AL,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,LAMBETH PCT,FUNDINGAPR13,"Ł4,000,000.00",,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,LEWISHAM PCT,FUNDINGAPR13,"Ł2,000,000.00",,SE12 8RN,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,LONDON SHA,FUNDINGAPR13,"Ł31,439,000.00",,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,LUTON TEACHING PCT,FUNDINGAPR13,"Ł4,000,000.00",,MK40 2AW,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,MID ESSEX PCT,FUNDINGAPR13,"Ł15,000,000.00",,CM8 2TL,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,NEWHAM PCT,FUNDINGAPR13,"Ł21,870,000.00",,E1 1RD,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,NORFOLK PCT,FUNDINGAPR13,"Ł20,500,000.00",,NR1 3FR,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,OXFORDSHIRE PCT,FUNDINGAPR13,"Ł10,000,000.00",,OX4 2LH,PUBLIC,,,Admin
Department of Health,Department of Health,01/04/2013,PCT and SHA Transition Cash accounts,CENTRAL TECHNICAL,PETERBOROUGH PCT,FUNDINGAPR13,"Ł3,300,000.00",,PE29 6FH,PUBLIC,,,Admin
