2011 CMIR 7 - TRANSPARENCY REPORT,,,,,,,
Month: April 2011,,,,,,,
,,,,,,,
Dept.,Entity,Date,OGC Master Category,Project code,Supplier,Transaction Number,Payment Value
Dept. for Education,QCDA,07/04/2011,ICT,Diploma,Amor Business Technology Solutions Ltd,PBAC/00133060,"Ł156,554.92"
Dept. for Education,QCDA,07/04/2011,Professional Services Temporary Staff,Test Delivery Operations Programme,BSS,PBAC/00133092,"Ł53,607.47"
Dept. for Education,QCDA,11/04/2011,N/A,Corporate Services,Civil Superannuation Vote,PRFT/00001536,"Ł290,111.30"
Dept. for Education,QCDA,28/04/2011,N/A,Corporate Services,Civil Superannuation Vote,PRFT/00001541,"Ł247,691.24"
Dept. for Education,QCDA,11/04/2011,N/A,Corporate Services,Contributions Agency,PRFT/00001535,"Ł235,128.87"
Dept. for Education,QCDA,28/04/2011,N/A,Corporate Services,Contributions Agency,PRFT/00001540,"Ł175,087.98"
Dept. for Education,QCDA,07/04/2011,Facilities,Corporate Services,Coventry City Council,PBAC/00132993,"Ł524,144.09"
Dept. for Education,QCDA,07/04/2011,Professional Services Learning & Development,Curriculum Development Programme,CUREE LTD,PBAC/00133048,"Ł33,120.00"
Dept. for Education,QCDA,14/04/2011,Facilities,Corporate Services,DCSF,PBAC/00133152,"Ł92,723.74"
Dept. for Education,QCDA,11/04/2011,Professional Services Learning & Development,Test Delivery Operations Programme,Edexcel Ltd,PBAC/00133128,"Ł1,100,000.00"
Dept. for Education,QCDA,07/04/2011,Office Solutions,Test Delivery Operations Programme,Elliott Baxter & Company Limited,PBAC/00133111,"Ł237,877.99"
Dept. for Education,QCDA,07/04/2011,Professional Services Temporary Staff,Policy & Strategy,Essex County Council,PBAC/00132995,"Ł43,718.80"
Dept. for Education,QCDA,28/04/2011,Travel & Events,Corporate Services,Expotel Hotel Reservations Ltd,PBAC/00133276,"Ł29,349.52"
Dept. for Education,QCDA,07/04/2011,Professional Services Other,Corporate Services,Field Fisher Waterhouse,PBAC/00133009,"Ł29,629.02"
Dept. for Education,QCDA,07/04/2011,Professional Services Temporary Staff,Corporate Services,Hays Personnel Services Ltd,PBAC/00132982,"Ł35,460.00"
Dept. for Education,QCDA,11/04/2011,N/A,Corporate Services,Inland Revenue Only,PRFT/00001534,"Ł365,666.74"
Dept. for Education,QCDA,28/04/2011,N/A,Corporate Services,Inland Revenue Only,PRFT/00001539,"Ł254,918.32"
Dept. for Education,QCDA,18/04/2011,N/A,Corporate Services,Inland Revenue Only,PRFT/00001537,"Ł107,246.32"
Dept. for Education,QCDA,07/04/2011,Office Solutions,Test Delivery Operations Programme,LINNEY PRINT,PBAC/00133043,"Ł98,803.00"
Dept. for Education,QCDA,18/04/2011,Facilities,Corporate Services,MCD (Coventry) Ltd,PBAC/00133216,"Ł30,000.00"
Dept. for Education,QCDA,07/04/2011,Professional Services Learning & Development,Assessment & Test Policy Programme,NCS Services UK Ltd ,PBAC/00133064,"Ł159,360.05"
Dept. for Education,QCDA,07/04/2011,Professional Services Learning & Development,Test Delivery Operations Programme,NFER,PBAC/00133028,"Ł119,968.50"
Dept. for Education,QCDA,18/04/2011,ICT,Corporate Services,Open Text UK Ltd,PBAC/00133205,"Ł38,855.91"
Dept. for Education,QCDA,07/04/2011,Logistics,General Qualifications Programme,Parcelforce Worldwide,PBAC/00132984,"Ł240,409.62"
Dept. for Education,QCDA,11/04/2011,Logistics,General Qualifications Programme,Parcelforce Worldwide,PBAC/00133124,"Ł151,867.20"
Dept. for Education,QCDA,07/04/2011,Professional Services Temporary Staff,Corporate Services,PENNA PLC,PBAC/00133006,"Ł179,070.60"
Dept. for Education,QCDA,18/04/2011,Professional Services Temporary Staff,Corporate Services,PENNA PLC,PBAC/00133198,"Ł40,669.65"
Dept. for Education,QCDA,11/04/2011,Office Solutions,Test Delivery Operations Programme,Pindar,PBAC/00133125,"Ł96,271.57"
Dept. for Education,QCDA,07/04/2011,Office Solutions,Test Delivery Operations Programme,Pindar,PBAC/00132985,"Ł47,141.08"
Dept. for Education,QCDA,07/04/2011,Professional Services Learning & Development,Test Delivery Operations Programme,RM Education Plc,PBAC/00133004,"Ł61,587.79"
Dept. for Education,QCDA,07/04/2011,Facilities,Corporate Services,SGP Property & Facilities Management Ltd,PBAC/00133040,"Ł230,057.37"
Dept. for Education,QCDA,11/04/2011,ICT,Corporate Services,Software Box Limited,PBAC/00133151,"Ł26,350.10"
Dept. for Education,QCDA,07/04/2011,Office Solutions,Corporate Services,Software Logistics,PBAC/00133008,"Ł34,002.60"
Dept. for Education,QCDA,07/04/2011,ICT,Corporate Services,Steria Ltd ,PBAC/00133041,"Ł411,216.58"
Dept. for Education,QCDA,07/04/2011,ICT,Corporate Services,Steria Services Ltd ,PBAC/00133015,"Ł376,999.03"
Dept. for Education,QCDA,28/04/2011,ICT,Corporate Services,Steria Services Ltd ,PBAC/00133251,"Ł49,621.75"
Dept. for Education,QCDA,07/04/2011,ICT,Research Programme,Texuna Technologies Ltd,PBAC/00133082,"Ł27,360.00"
Dept. for Education,QCDA,07/04/2011,Professional Services Learning & Development,General Qualifications Programme,University of Bristol,PBAC/00132997,"Ł27,931.00"
,,,,,,,
,,,,,,,
2011 CMIR 7e - TRANSPARENCY REPORT,,,,,,,
Month: April 2011,,,,,,,
,,,,,,,
Dept.,Entity,Date,OGC Master Category,Project code,Supplier,Transaction Number, Payment Value 
Dept. for Education,QCDA(E),27/04/2011,Logistics,Corporate Services,Granby Marketing Services,QBACS/00000528,"Ł496,816.65"
Dept. for Education,QCDA(E),21/04/2011,N/A,Corporate Services,HMRC Cumbernauld,QBACS/00000527,"Ł119,639.24"
