Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,04/08/2015,IT and communication services,JFC,OFFICE OF COMMUNICATIONS (OFCOM),SE1 9HA,40967,Line + telephone rental including commercial charge for use of radio frequencies,"Ł30,475,000.00"
Ministry of Defence,Ministry of Defence,11/08/2015,Development costs for military equipment,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,GU14 6YU,43004,Intangible single use military equipment asset  - in year capital addition,"Ł23,960,952.95"
Ministry of Defence,Ministry of Defence,06/08/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,41574,Property dwellings private finance initiative - service concession arrangement service charge,"Ł23,720,472.11"
Ministry of Defence,Ministry of Defence,19/08/2015,Design services and minor equipment purchases,Defence Equipment + Support,BABCOCK DSG LTD,SP11 8HT,46128,Equipment support non-project costs,"Ł11,889,651.15"
Ministry of Defence,Ministry of Defence,19/08/2015,Government Procurement Card,Ministry of Defence,Barclays Bank PLC,TS17 6YG,EMP11603,Monthly GPC Payment,"Ł10,102,670.43"
Ministry of Defence,Ministry of Defence,17/08/2015,Government Procurement Card,Ministry of Defence,Barclays Bank PLC,TS17 6YG,EMP11601,Monthly GPC Payment,"Ł10,064,334.99"
Ministry of Defence,Ministry of Defence,26/08/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,48326,Utilities consumed - electricity,"Ł10,043,017.10"
Ministry of Defence,DECA,17/08/2015,Guard Service - Sealand,DECA -Prev Bus Stream 3,DGFM - HMG 4780,L2 3YL,"41,820.35",Facilities,"Ł10,002,147.00"
Ministry of Defence,DECA,11/08/2015,Electricity,DECA -Prev Bus Stream 3,EDF ENERGY 1 LIMITED,EX1 3UT,"72,135.69",Site Costs,"Ł10,002,135.00"
Ministry of Defence,DECA,11/08/2015,Company Credit Cards,DECA -Prev Bus Stream 3,Barclaycard Commercial,LE18 9EN,"39,864.30",Accruals,"Ł10,002,119.00"
Ministry of Defence,Ministry of Defence,12/08/2015,Medical treatment & stores and welfare services,HO+CS,ABF THE SOLDIERS' CHARITY,SW1W 9RB,43346,Specific Grants to Charities,"Ł8,300,000.00"
Ministry of Defence,Ministry of Defence,06/08/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,SW1A 2HB,41791,Property non dwellings private finance initiative - service concession arrangement service charge,"Ł8,084,749.30"
Ministry of Defence,Ministry of Defence,18/08/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,B37 7YG,45621,Property non dwellings private finance initiative - service concession arrangement service charge,"Ł7,997,106.38"
Ministry of Defence,Ministry of Defence,27/08/2015,Grants to NDPBs,HO+CS,COMMONWEALTH WAR GRAVES COMMISSION,SL6 7DX,6000004928,Pay costs grant in aid to the Commonwealth War Graves commission,"Ł7,943,262.41"
Ministry of Defence,Ministry of Defence,07/08/2015,Medical treatment & stores and welfare services,HO+CS,THE ROYAL BRITISH LEGION,SE1 1AA,42525,Specific Grants to Charities,"Ł7,000,000.00"
Ministry of Defence,Ministry of Defence,21/08/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV3 0SR,46970,Estate core services charge,"Ł6,769,002.84"
Ministry of Defence,Ministry of Defence,26/08/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7ST,48529,Property dwellings private finance initiative - service concession arrangement service charge,"Ł6,247,975.92"
