Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,13/02/2015,IT and communication services,JFC,OFFICE OF COMMUNICATIONS (OFCOM),SE1 9HA,435192,Line + telephone rental including commercial charge for use of radio frequencies,"£38,719,600.00"
Ministry of Defence,Ministry of Defence,09/02/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,432877,Property dwellings private finance initiative - service concession arrangement service charge,"£13,190,675.05"
Ministry Of Defence,Ministry Of Defence,19/02/2015,Government Procurement Card,Ministry Of Defence,BARCLAYS BANK PLC,,EMP11450,Monthly GPC Payment,"£11,014,782.31 "
Ministry of Defence,Ministry of Defence,13/02/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,434931,Utilities consumed - gas,"£9,180,945.32"
Ministry Of Defence,Ministry Of Defence,16/02/2015,Government Procurement Card,Ministry Of Defence,BARCLAYS BANK PLC,,EMP11448,Monthly GPC Payment,"£8,848,717.48"
Ministry of Defence,Ministry of Defence,06/02/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,SW1A 2HB,432574,Property non dwellings private finance initiative - service concession arrangement service charge,"£7,874,661.38"
Ministry of Defence,Ministry of Defence,25/02/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV1 4HY,438760,Estate core services charge,"£6,915,430.04"
Ministry of Defence,Ministry of Defence,20/02/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,BAE SYSTEMS INTEGRATED SYSTEM TECHNOLOGIES LIMITED,CM1 1QW,437294,Single use military equipment asset under construction - capital in year addition,"£6,851,116.80"
Ministry of Defence,Ministry of Defence,19/02/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,436827,Estate core services charge,"£6,324,309.72"
Ministry of Defence,Ministry of Defence,19/02/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7ST,437110,Property dwellings private finance initiative - service concession arrangement service charge,"£6,228,166.61"
Ministry of Defence,Ministry of Defence,17/02/2015,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,435942,Grant in aid to the council of reserve forces and cadet associations,"£6,163,863.50"
Ministry of Defence,Ministry of Defence,26/02/2015,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,439347,Fees for professional services excluding legal fees,"£5,637,711.00"
Ministry of Defence,Ministry of Defence,11/02/2015,Rental of plant and machinery,Defence Equipment + Support,BOEING DEFENCE U K LTD,BS16 1EJ,433886,Plant + machinery operating lease,"£5,575,498.00"
Ministry of Defence,Ministry of Defence,13/02/2015,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,435037,Estate + facilities management services - accommodation inventory + service,"£5,398,337.13"
Ministry of Defence,Ministry of Defence,25/02/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,438931,Estate core services charge,"£5,044,798.00"
Ministry of Defence,Ministry of Defence,16/02/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,435532,Estate core services charge,"£4,654,541.78"
Ministry of Defence,Ministry of Defence,20/02/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,KELDA WATER SERVICES (ESTATES) LIMITED,S75 3JR,437479,Property non dwellings private finance initiative - service concession arrangement service charge,"£3,636,649.23"
Ministry of Defence,Ministry of Defence,03/02/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,KELDA WATER SERVICES (ESTATES) LIMITED,S75 3JR,430939,Property non dwellings private finance initiative - service concession arrangement service charge,"£3,620,669.68"
