Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
DEFRA,Core Defra,14/03/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,A D A S UK Ltd,RIRP059833," £38,359.00 ",Monitoring the effectiveness of the Nitrates Directive Actium Programme in Nitrate Vulnerable Zones,WV6 8TQ,,,00000000,Expense
DEFRA,Core Defra,12/03/2012,Current Grants UK,Environment and Rural Group,Westcountry Rivers Trust.,070312," £95,000.00 ",GRANT CATCHMENT BASED APPROACH 2011/12,PL17 9PH,SME,exempt,00000000,Expense
DEFRA,Core Defra,28/03/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,The Coal Authority,CA093604," £35,000.00 ",2011/12 Characterisation and Targeting of Measures for (Non Coal) Polluted Mine Waters.,NG18 4RG,,Exempt,00000000,Expense
DEFRA,Core Defra,06/03/2012,Current Grants UK,Environment and Rural Group,Natural England,010312," £1,784,000.00 ",WATER FRAMEWORK DIRECTIVE - PROGRAMME FUNDING 2011/12,YO1 7PX,,exempt,00000000,Expense
DEFRA,Core Defra,06/03/2012,Other Current Payments E,Environment and Rural Group,Association Of Rivers Trusts,010312," £1,549,800.00 ",PROJECTS THAT DELIVER AGAINST WATER FRAMEWORK DIRECTIVE,PL17 8PH,SME,exempt,00000000,Expense
DEFRA,Core Defra,28/03/2012,Current Grants UK,Environment and Rural Group,Tyne Rivers Trust,210312," £110,000.00 ",2011/12 CATCHMENT BASED APPROACH GRANT FUNDING,NE15 0PA,SME,exempt,00000000,Expense
DEFRA,Core Defra,28/03/2012,Current Grants UK,Environment and Rural Group,Avon Wildlife Trust,210312," £70,100.00 ",2011/12 CATCHMENT BASED APPROACH GRANT FUNDING,BS8 1DR,SME,Exempt,00000000,Expense
DEFRA,Core Defra,02/03/2012,Other Current Payments E,Environment and Rural Group,Royal Society Of Wildlife Trusts,290212," £660,000.00 ",To carry out Projects that deliver against Water Frame work Directive Objectives on time and to budget.,NG24 1WT,SME,Exempt,00000000,Expense
DEFRA,Core Defra,14/03/2012,Current Grants UK,Environment and Rural Group,Association Of Rivers Trusts,090312," £350,000.00 ",TO CARRY OUT PROJECTS THAT DELIVER AGAINST WATER FRAMEWORK DIRECTIVE,PL17 8PH,SME,exempt,00000000,Expense
DEFRA,Core Defra,16/03/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,Environment Agency,1135509," £65,000.00 ",DEFRA CONTRIBUTION TO A COLLABORATIVE AGREEMENT WITH ENVIRONMENT QUALITY FOR WATER FRAMEWORK DIRECTIVE PRIORITY SUBSTANCES AND SPECIFIC POLLUTANTS,PE2 8YD,,exempt,00000000,Expense
DEFRA,Core Defra,06/03/2012,Current Grants UK,Environment and Rural Group,New Forest National Park Auth,INV000337," £53,598.00 ",2011/12 GRANT FUNDING FOR NEW FOREST NATIONAL PARK AUTHORITY,SO41 9ZG,SME,exempt,00000000,Expense
DEFRA,Core Defra,28/03/2012,Current Grants UK,Environment and Rural Group,Game & Wildlife Conservation Trust,210312," £59,394.00 ",2011/12 CATCHMENT BASED APPROACH GRANT FUNDING,SP6 1EF,,Exempt,00000000,Expense
DEFRA,Core Defra,12/03/2012,Current Grants UK,Environment and Rural Group,Thames 21.,0703126183400," £61,834.00 ",GRANT CATCHMENT BASED APPROACH 2011/12,EC4R 3TD,SME,exempt,00000000,Expense
DEFRA,Core Defra,12/03/2012,Current Grants UK,Environment and Rural Group,Groundwork Lancashire West & Wigan Ltd,070312," £40,000.00 ",GRANT CATCHMENT BASED APPROACH 2011/12,WN1 1HP,SME,exempt,00000000,Expense
DEFRA,Core Defra,06/03/2012,Current Grants UK,Environment and Rural Group,Natural England,010312121300000," £1,213,000.00 ",WATER FRAMEWORK DIRECTIVE-CAPITAL FUNDING 2011/12,YO1 7PX,,Exempt,00000000,Expense
DEFRA,Core Defra,26/03/2012,Current Grants UK,Environment and Rural Group,Severn Rivers Trust,1398SRTIV," £79,500.00 ",GRANT FUNDING FOR RIVER TEME PILOT CATCHMENT 2011/12,OX7 5TL,SME,Exempt,00000000,Expense
DEFRA,Core Defra,12/03/2012,Current Grants UK,Environment and Rural Group,Farming & Wildlife Advisory Group South West,070312," £40,000.00 ",GRANT CATCHMENT BASED FUNDING FOR FARMING AND WILDLIFE ADVISORY GROUP SOUTHWEST APPROACH 11/12,GL7 5HY,SME,exempt,00000000,Expense
