Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,MoJ HQ,22-Oct-12,246000-Current Grants,RC999-Criminal Justice Group - OMS,CLINKS,1085358,"Ł25,000.00",Voluntary & Community Sector Grant - Provision of Offender Services
Ministry of Justice,MoJ HQ,22-Oct-12,246000-Current Grants,RG999-CFLAP Accumulator,MONEY ADVICE TRUST,1085444,"Ł25,000.00","""Grant payment to support the work in the field of advice services.  Funding for 2012-13. """
Ministry of Justice,MoJ HQ,08-Oct-12,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",THE VIEWPOINT ORGANISATION (EUROPE) LTD,1084474,"Ł26,290.00",Viewpoint YOS Survey -  Period 2012-2017
Ministry of Justice,MoJ HQ,08-Oct-12,223001-Printing Postage and Office expenditure,RG999-CFLAP Accumulator,IMPACT MARCOM LTD,1084325,"Ł26,785.00",Impact Marcom Limited to  supplying & be responsible for all the equipment that will be used during the Azelle Rodney Inquiry Hearings.
Ministry of Justice,MoJ HQ,22-Oct-12,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1085350,"Ł27,924.33",Venue Hire relating to training events for Judiciary
Ministry of Justice,MoJ HQ,08-Oct-12,246000-Current Grants,RB999-JPG - CJRD,DOMESTIC VIOLENCE AND ABUSE SERVICE (SOUTH AND WEST DEVON),1084274,"Ł28,273.50",Payment of grant to voluntary sector organisations to provide specialist support from Victim & Witness General Fund
Ministry of Justice,MoJ HQ,08-Oct-12,246000-Current Grants,RB999-JPG - CJRD,LIGHTHOUSE WOMEN'S AID LTD TRADING AS IPSWICH WOMEN'S AID,1084351,"Ł29,903.50",Payment of grant to voluntary sector organisations to provide specialist support from Victim & Witness General Fund
Ministry of Justice,MoJ HQ,22-Oct-12,246000-Current Grants,RC999-Criminal Justice Group - OMS,CLINKS,1085358,"Ł30,000.00",Voluntary & Community Sector Grant - Provision of Offender Services
Ministry of Justice,MoJ HQ,08-Oct-12,246000-Current Grants,RB999-JPG - CJRD,IPSWICH AND SUFFOLK COUNCIL FOR RACIAL EQUALITY,1084328,"Ł31,450.00",Payment of grant to voluntary sector organisations to provide specialist support from Victim & Witness General Fund
Ministry of Justice,MoJ HQ,23-Oct-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),2158,"Ł32,000.96",Parc YOI Contract - FY 12-13
Ministry of Justice,MoJ HQ,25-Oct-12,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1085584,"Ł35,680.83","Venue Hire, Accomodation and other costs relating to Judicial Training Conferences"
Ministry of Justice,MoJ HQ,18-Oct-12,246000-Current Grants,RC999-Criminal Justice Group - OMS,BLACK TRAINING AND ENTERPRISE GROUP,1085053,"Ł37,500.00","Voluntary & Community Sector Grant - Provision of services to Black, Asian & minority ethnic offenders"
Ministry of Justice,MoJ HQ,25-Oct-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),1085691,"Ł40,001.20",Parc YOI Contract - FY 12-13
Ministry of Justice,MoJ HQ,22-Oct-12,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1085350,"Ł41,873.48","Venue Hire, Accomodation and other costs relating to Judicial Training Conferences"
Ministry of Justice,MoJ HQ,18-Oct-12,246000-Current Grants,RC999-Criminal Justice Group - OMS,WOMENCENTRE LTD,1085312,"Ł50,000.00",Voluntary & Community Sector Grant - Provision of services to women offenders 
Ministry of Justice,MoJ HQ,08-Oct-12,246000-Current Grants,RB999-JPG - CJRD,NSPCC,1084376,"Ł50,011.60",Payment of grant to voluntary sector organisations to provide specialist support from Victim & Witness General Fund
Ministry of Justice,MoJ HQ,18-Oct-12,246000-Current Grants,RC999-Criminal Justice Group - OMS,ACTION FOR PRISONERS FAMILIES,1085022,"Ł60,000.00",Voluntary & Community Sector Grant - Provision of services to families of prisoners and other offenders
Ministry of Justice,MoJ HQ,22-Oct-12,246000-Current Grants,RC999-Criminal Justice Group - OMS,CLINKS,1085358,"Ł222,100.00",Voluntary & Community Sector Grant - Provision of Offender Services
Ministry of Justice,MoJ HQ,18-Oct-12,223000-Other Expenditure,RB999-JPG - CJRD,VICTIM SUPPORT,1085300,"Ł307,455.00",Payment to voluntary sector organisations - Victim Support Projects
Ministry of Justice,MoJ HQ,23-Oct-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),2159,"Ł325,939.20",Parc YOI Contract - FY 12-13
Ministry of Justice,MoJ HQ,15-Oct-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,MEDOMSLEY TRAINING SERVICES LTD,1084908,"Ł640,029.60","Operation Delivery services in respect of Prisons, YOIs or STCs"
Ministry of Justice,MoJ HQ,15-Oct-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (ONLEY) LTD,1084840,"Ł1,237,694.10","Operation Delivery services in respect of Prisons, YOIs or STCs"
Ministry of Justice,MoJ HQ,15-Oct-12,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (COOKHAM WOOD) LTD,1084839,"Ł1,364,081.11","Operation Delivery services in respect of Prisons, YOIs or STCs"
Ministry of Justice,MoJ HQ,29-Oct-12,228000-Prisoner Related Costs,RC999-Criminal Justice Group - OMS,EDUCATIONAL FUNDING AGENCY,1085859,"Ł3,185,727.00",To provide education to young people in custody
Ministry of Justice,MoJ HQ,29-Oct-12,228000-Prisoner Related Costs,RC999-Criminal Justice Group - OMS,EDUCATIONAL FUNDING AGENCY,1085859,"Ł3,185,727.00",To provide education to young people in custody
Ministry of Justice,MoJ HQ,08-Oct-12,246000-Current Grants,RB999-JPG - CJRD,VICTIM SUPPORT,1084482,"Ł9,279,000.00",Payment of grant to voluntary sector organisations - Core Victim Support Grant
Ministry of Justice,MoJ HQ,05-Oct-12,245000-Grants in Aid to NDPBs,RC999-Criminal Justice Group - OMS,YOUTH JUSTICE BOARD FOR ENGLAND & WALES,6602,"Ł40,550,000.00",Grant-in-aid requirement for Arm's Length Body
Ministry of Justice,MoJ HQ,09-Oct-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,LEGAL SERVICES COMMISSION (LSC),2097,"Ł25,135.00",Quarter 1 recharge for MoJ Leeds office costs
Ministry of Justice,MoJ HQ,25-Oct-12,222001-Maintenance,NZ406-Strategic Estates Feeder,INSTITUTE FOR GOVERNMENT,1085647,"Ł45,306.68",Quarter 1 charges for Site Management Recources
Ministry of Justice,MoJ HQ,18-Oct-12,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1085114,"Ł56,729.16","Electricity supply in 2012-13 to: 102 Petty France, Steel House and Clive House."
Ministry of Justice,MoJ HQ,11-Oct-12,222001-Maintenance,NZ406-Strategic Estates Feeder,HOME OFFICE,2102,"Ł60,698.40",Dilapidation works to Dyke Road-costs incurred by HOPG
Ministry of Justice,MoJ HQ,23-Oct-12,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,CITY OF WESTMINSTER,1085529,"Ł60,945.00",Business Rates - Ashley House
Ministry of Justice,MoJ HQ,04-Oct-12,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,BNP PARIBAS REAL ESTATE,1083945,"Ł62,500.00",Rent - 2 Carlton Gardens
Ministry of Justice,MoJ HQ,01-Oct-12,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1083777,"Ł63,164.38","Electricity supply in 2012-13 to: 102 Petty France, Steel House and Clive House."
Ministry of Justice,MoJ HQ,11-Oct-12,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1084597,"Ł63,831.04","Electricity supply in 2012-13 to: 102 Petty France, Steel House and Clive House."
Ministry of Justice,MoJ HQ,22-Oct-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1085329,"Ł84,875.00","A-S-03501-07-v01 WR068 YJB SharePoint Software, Third Party resources and business change						"
Ministry of Justice,MoJ HQ,25-Oct-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,LANCASTER CLEANING AND SUPPORT SERVICES,1085656,"Ł90,579.90","Annual cost of cleaning services across the MoJ HQ Estate, 2012-13"
Ministry of Justice,MoJ HQ,11-Oct-12,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1084667,"Ł92,819.95",JOB NO: 00813MOJMF CLIVE HOUSE EMERGENCY LIGHTING
Ministry of Justice,MoJ HQ,11-Oct-12,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1084667,"Ł242,782.56","PPM monthly costs, June 2012-March 2013, across the MoJ HQ Estate. MTC monthly costs, June 2012-March 2013, across the MoJ HQ Estate."
Ministry of Justice,MoJ HQ,18-Oct-12,266000-Judicial Costs,LZ600-Transforming Justice,THOMSON REUTERS T/A SWEET & MAXWELL LTD,1085293,"Ł30,700.80",Legal publications for the judiciary and courts
Ministry of Justice,MoJ HQ,08-Oct-12,223000-Other Expenditure,LZ600-Transforming Justice,CABINET OFFICE,2084,"Ł45,000.00",Media Monitroing service for the period 01-04-2012 to 31-03-2013
Ministry of Justice,MoJ HQ,25-Oct-12,223000-Other Expenditure,LZ600-Transforming Justice,TNT UK LTD,1085778,"Ł69,510.87",Monthly 'storage' and 'activity' costs for paper records stored by TNT on MoJ's behalf at its secure repositories at Swadlincote. Ł75k per month
Ministry of Justice,MoJ HQ,19-Oct-12,262000-SCA Costs,QZ500-Arms Length Bodies (CPG),NATIONAL SAVINGS & INVESTMENTS,2149,"Ł101,259.00",Repayment to National Savings and Investments of loan to pay for modernisation development costs.
