EA Dec 2011 - >£25k Payments report FINAL,,,,,,,,,,,
Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure type
22-Dec-11,Building Management,National Estates Manager,Leeds City Council,945474,"£186,190.00",Rates - Phoenix house,LS2 8JR,,,,Administration
22-Dec-11,Building Management,National Estates Manager,Leeds City Council,945479,"£130,235.19",Rates - Park Square Leeds,LS2 8JR,,,,Administration
22-Dec-11,Building Management,NLS Support Leeds,Leeds City Council,945483,"£117,992.50",Rates - Olympia House,LS2 8JR,,,,Administration
22-Dec-11,Building Management,National Estates Manager,Leeds City Council,945486,"£35,939.00",Rates Stockdale house,LS2 8JR,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South West,Solihull Metropolitan Borough Council,945495,"£119,075.00",Rates - Olton Court,B91 3RR,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South West,Solihull Metropolitan Borough Council,945496,"£153,774.28",Rates - Sapphire East,B91 3RR,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South West,Taunton Deane Borough Council,945505,"£36,710.21",Rates - Crown Ind est Taunton,TA1 2BB,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,Rushmoor Borough Council,945510,"£159,386.48",Rates - Frimley,GU14 7JU,,,,Administration
22-Dec-11,Building Management,National Estates Manager,City Of York Council,945520,"£93,095.00",Rates - Aviator court,YO1 7DU,,,,Administration
22-Dec-11,Building Management,National Estates Manager,Rotherham Metropolitan Borough Council,945523,"£40,485.50",Rates - Templeborough,S65 1EU,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Northern,Lincoln City Council,945525,"£94,305.96",Waterside House,LN1 1DB,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,Worthing Borough Council,945538,"£149,162.02",Rates - Worthing,BN11 1HB,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South West,North Dorset District Council,946150,"£55,424.00",Rates Rivers House,DT11 7LL,,,,Administration
22-Dec-11,Building Management,TH South East-Tidal Defence Mgr,London Borough Of Greenwich,946157,"£28,992.00",Rates - Herringham Road,SE18 6RA,,,,Administration
22-Dec-11,Building Management,TH South East-Tidal Defence Mgr,Greenwich Council,946159,"£26,047.50",Rates Thames barrier visitors center,SE1 6RS,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South West,Cornwall Council,946165,"£31,043.43",Rates - Bodmin,TR1 1YL,,,,Administration
22-Dec-11,Building Management,National Facilities Manager,Sedgemoor District Council,946176,"£121,171.02",Rates - Rivers house,TA6 3AR,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,Welwyn Hatfield Council,946213,"£181,835.28",Rates - Hatfield,AL8 6AE,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South West,East Devon District Council,946238,"£26,990.02",Rates Clyst Honiton,EX10 8HL,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,Sevenoaks District Council,946244,"£44,035.45",Rates Leigh,TN13 1HG,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South West,Teignbridge District Council,946248,"£119,435.53",Rates Exminster,TQ12 4XX,,,,Administration
22-Dec-11,Building Management,NLS Support Starcross,Teignbridge District Council,946253,"£78,302.12",Rates - Starcross Laboratories,TQ12 4XX,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Northern,Kettering Borough Council,946279,"£38,110.46",Rates Nene house,NN16 8PP,,,,Administration
22-Dec-11,Building Management,NW Regional Facilities,South Ribble Borough Council,946301,"£75,792.94",Rates Bamber Bridge,PR25 1DH,,,,Administration
22-Dec-11,Building Management,National Estates Manager,Stockton On Tees Borough Council,948434,"£33,341.00",Rates Thornaby,TS23 2YS,,,,Administration
22-Dec-11,Building Management,NLS Support Nottingham,Nottingham City Council,948437,"£37,633.48",Rates - Nottingham City Council,NG1 4XX,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,Tonbridge & Malling Borough Council,948470,"£91,472.10",Rates Orchard house,ME19 4LZ,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,Chelmsford Borough Council,948476,"£33,225.69",Rates - Rivers House,CM1 2JE,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,Ipswich Borough Council,948479,"£71,445.00",Rates Cobham Road,IP1 2EE,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,Havant Borough Council,949412,"£29,011.00",Rates- Waterlooville,PO9 2ER,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,Winchester City Council,949426,"£80,984.98",Rates - Colvedene Court,SO23 9LJ,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,Reading Borough Council,949454,"£38,180.46",Rates - Fobney Mead,RG1 7TD,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,Reading Borough Council,949460,"£138,560.00",Rates - Kings Meadow House,RG1 7TD,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South West,Exeter City Council,949485,"£191,602.50",Rates - Manley house,EX1 1JW,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,City Of Westminster,949493,"£57,055.24",Rates - Millbank,SW1E 6QP,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,City Of Westminster,949496,"£117,243.89",Rates Millbank,SW1E 6QP,,,,Administration
22-Dec-11,Building Management,NW Regional Facilities,Warrington Borough Council,949513,"£199,724.32",Rates - Richard Fairclough House,WA1 1BN,,,,Administration
22-Dec-11,Building Management,NW Regional Facilities,Warrington Borough Council,949521,"£194,164.62",Rates - Appleton house.,WA1 1BN,,,,Administration
22-Dec-11,Building Management,NW Regional Facilities,Trafford Metropolitan Borough Council,949530,"£38,753.50",Rates - Sale,M33 7ZF,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,East Cambridgeshire District Council,949549,"£25,591.64",Rates - prickwillow,CB7 4XP,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,Bedford Borough Council,949570,"£30,093.50",Rates - st john street,MK40 1SH,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,Braintree District Council,949585,"£30,093.50",Rates - Feering,CM7 9HB,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,Peterborough City Council,949593,"£71,479.26",Rates - Aqua house,PE1 1AY,,,,Administration
22-Dec-11,Building Management,National Estates Manager,City Of Newcastle,949607,"£180,777.50",Rates - Tyneside house,NE99 2PT,,,,Administration
22-Dec-11,Building Management,National Estates Manager,Sheffield City Council,949612,"£168,870.00",Rates - Quadrant,S1 1UY,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South West,Shropshire Council,949623,"£38,176.96",rates - Hafren house,SY2 6ND,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South West,Tewkesbury Borough Council,949624,"£53,692.00",Rates - Riversmeet house,GL20 5TT,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South West,Rushcliffe Borough Council,949636,"£131,325.49",Rates - Trentside,NG2 5FE,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South West,Lichfield District Council,950334,"£110,415.00",Rates - Fradley,WS13 6YX,,,,Administration
22-Dec-11,Building Management,NLS Support Llanelli,Carmarthenshire County Council,952297,"£28,462.00",Rates -  Llanelli,SA31 1LE,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,Huntingdonshire District Council,954218,"£133,657.13",Rates Brampton,PE29 3TN,,,,Administration
22-Dec-11,Building Management,NW Regional Facilities,Eden District Council,955364,"£91,363.00",Rates - Ghyll Mount ,CA11 7QF,,,,Administration
